fv,subset_acc,ex_acc,ex_p,ex_r,ex_f1,lab_acc,lab_p,lab_r,lab_f1
Res18-64,0.5345,0.60603,0.6810,0.6063,0.6415,0.8621,0.2850,0.2616,0.2728
Res18-128,0.5172,0.6193,0.7026,0.6408,0.6703,0.8707,0.4631,0.3269,0.3832
Res18-256,0.5345,0.6063,0.6724,0.6149,0.6424,0.8592,0.3013,0.2630,0.2808
Res18-512,0.5259,0.5891,0.6552,0.5891,0.6204,0.8549,0.2241,0.2447,0.2339
SLFs,0.4958,0.5532,0.6134,0.5532,0.5818,0.8445,0.8744,0.2053,0.3325
