agg,subset_acc,ex_acc,ex_p,ex_r,ex_f1,lab_acc,lab_p,lab_r,lab_f1
BOV,0.0420,0.2081,0.2358,0.4607,0.3120,0.5784,0.2150,0.4618,0.2934
FisherVector,0.0,0.0640,0.0672,0.1834,0.0983,0.3739,0.5336,0.5000,0.5162
VLAD,0.3629,0.4466,0.6470,0.4944,0.5605,0.8291,0.4123,0.2401,0.3035
RNN,0.2353,0.2843,0.3361,0.2843,0.3081,0.7521,0.7322,0.2049,0.3202
ImPLoc,0.4118,0.5385,0.5896,0.6204,0.6046,0.8291,0.3246,0.3523,0.3379
