data,subset_acc,ex_acc,ex_p,ex_r,ex_f1,lab_acc,lab_p,lab_r,lab_f1
Noise,0.0756,0.0826,0.0924,0.0826,0.0873,0.6709,0.6959,0.1833,0.2902
Ours,0.4454,0.5658,0.6134,0.6387,0.6258,0.8445,0.4142,0.4520,0.4323
